path,cluster,bg_frac,p1,p50,p99,grad_mean,grad_tail,var_med,var_iqr,spec_slope
002637.npy,1,0.051682,0.007843,0.498039,0.988235,0.263413,2.119978,0.081816,0.012012,0.035482
002638.npy,1,0.050705,0.007843,0.498039,0.988235,0.263225,2.133260,0.082120,0.013038,0.025515
002639.npy,1,0.050186,0.007843,0.501961,0.988235,0.262775,2.115171,0.081974,0.011963,0.001044
002640.npy,0,0.011856,0.043137,0.592157,0.937255,0.053689,6.386969,0.006063,0.015756,-1.282836
002641.npy,1,0.010559,0.047059,0.603922,0.807843,0.087974,4.105938,0.015992,0.027852,-1.072882
002642.npy,1,0.009811,0.050980,0.627451,0.807843,0.083660,4.331321,0.013673,0.027122,-1.071988
002643.npy,1,0.009827,0.050980,0.603922,0.807843,0.087691,4.108402,0.015919,0.027591,-1.073119
002644.npy,0,0.006439,0.058824,0.384314,0.776471,0.029299,4.640534,0.002301,0.003704,-1.637241
002645.npy,0,0.000122,0.329412,0.745098,0.905882,0.012688,3.343194,0.000384,0.000689,-1.462833
002646.npy,0,0.000107,0.333333,0.745098,0.905882,0.012681,3.337842,0.000390,0.000668,-1.460377
002647.npy,0,0.001129,0.262745,0.760784,0.909804,0.011828,3.114610,0.000360,0.000577,-1.497452
002648.npy,0,0.001999,0.078431,0.407843,0.968627,0.035613,4.652262,0.001859,0.005463,-1.496864
002649.npy,0,0.000534,0.137255,0.494118,0.862745,0.055280,2.519278,0.003435,0.001049,-0.666503
002650.npy,0,0.000305,0.145098,0.498039,0.862745,0.054486,2.512400,0.003302,0.001033,-0.664360
002651.npy,0,0.000137,0.160784,0.513726,0.870588,0.050285,2.516498,0.002834,0.000852,-0.687531
002652.npy,0,0.000580,0.117647,0.541176,0.603922,0.012327,14.556386,0.000023,0.000008,-1.145314
002653.npy,0,0.013718,0.043137,0.317647,0.745098,0.063033,4.015623,0.007048,0.012905,-1.079542
002654.npy,0,0.007629,0.054902,0.403922,0.792157,0.064079,4.043329,0.008139,0.014971,-1.127863
002655.npy,0,0.013779,0.043137,0.317647,0.745098,0.063181,3.994658,0.006880,0.011856,-1.078573
002656.npy,0,0.000305,0.133333,0.741176,0.905882,0.034222,8.519371,0.001058,0.008517,-1.363617
002657.npy,0,0.001831,0.101961,0.196078,0.639216,0.024999,7.497595,0.000332,0.001618,-1.257007
002658.npy,0,0.000381,0.121569,0.219608,0.650980,0.024480,7.477831,0.000314,0.001903,-1.252423
002659.npy,0,0.001953,0.098039,0.196078,0.643137,0.025236,7.477567,0.000338,0.001530,-1.255741
002660.npy,0,0.000336,0.070588,0.600000,0.949020,0.029544,7.144643,0.000855,0.007705,-1.443883
002661.npy,0,0.004272,0.074510,0.454902,0.737255,0.015175,7.095931,0.000152,0.002240,-1.758903
002662.npy,0,0.001144,0.094118,0.450980,0.733333,0.014225,7.443764,0.000118,0.001619,-1.756603
002663.npy,0,0.004105,0.074510,0.458824,0.737255,0.015186,7.102318,0.000145,0.002248,-1.759314
002664.npy,0,0.058472,0.023529,0.349020,0.941176,0.028638,7.114366,0.001119,0.004201,-1.659651
002665.npy,0,0.000519,0.113725,0.384314,0.790784,0.043738,3.878442,0.004145,0.005369,-1.480371
002666.npy,0,0.000519,0.117647,0.388235,0.764706,0.045129,3.888028,0.004287,0.005169,-1.367400
002667.npy,0,0.000534,0.113725,0.376471,0.788235,0.045008,3.864881,0.004328,0.005727,-1.442264
002668.npy,0,0.061752,0.003922,0.603922,0.992157,0.043447,6.483216,0.002649,0.007215,-1.345775
002669.npy,0,0.033142,0.007843,0.800000,0.937255,0.051116,8.362715,0.002213,0.018348,-1.324720
002670.npy,0,0.041519,0.003922,0.823529,0.945098,0.043921,9.066254,0.001100,0.010221,-1.357116
002671.npy,0,0.031586,0.007843,0.800000,0.937255,0.052101,8.233836,0.002444,0.018446,-1.319404
002672.npy,1,0.005859,0.066667,0.376471,0.945098,0.075026,4.689819,0.013837,0.027181,-1.175560
002673.npy,0,0.001389,0.129412,0.592157,0.752941,0.021448,10.147319,0.000018,0.003053,-1.288037
002674.npy,0,0.002670,0.098039,0.584314,0.760784,0.023806,9.620174,0.000020,0.003532,-1.308955
002675.npy,0,0.003448,0.070588,0.482353,0.796078,0.038929,6.501713,0.002016,0.010431,-1.262136
002676.npy,0,0.003342,0.541176,0.745098,0.854902,0.019364,3.442739,0.000820,0.000898,-1.502862
002677.npy,0,0.000168,0.313726,0.658824,0.807843,0.028216,3.685034,0.001698,0.002013,-1.545771
002678.npy,0,0.000153,0.286275,0.631373,0.788235,0.029352,3.537364,0.001924,0.002074,-1.555808
002679.npy,0,0.000107,0.342549,0.635294,0.800000,0.030033,3.465156,0.002155,0.002589,-1.536977
002680.npy,0,0.238525,0.023529,0.117647,0.776471,0.041226,7.066172,0.001057,0.008435,-1.192666
002681.npy,1,0.003952,0.054902,0.113725,0.964706,0.095834,5.151808,0.019125,0.072868,-1.183344
002682.npy,1,0.016220,0.047059,0.094118,0.960784,0.081688,5.926242,0.007565,0.058619,-1.167023
002683.npy,1,0.005066,0.054902,0.109804,0.964706,0.095542,5.168633,0.018791,0.071851,-1.185759
002684.npy,0,0.021408,0.027451,0.364706,0.800000,0.048202,4.991921,0.004099,0.007742,-1.181979
002685.npy,0,0.000031,0.552941,0.937255,0.945098,0.011053,13.441127,0.000021,0.000014,-1.291296
002686.npy,0,0.000031,0.470588,0.917647,0.925490,0.011798,12.133153,0.000014,0.000009,-1.218473
002687.npy,0,0.000015,0.584314,0.964706,0.980392,0.010892,15.321891,0.000041,0.000012,-1.250332
002688.npy,0,0.054962,0.011765,0.894118,0.992157,0.032123,10.425014,0.000070,0.004461,-1.531993
002689.npy,0,0.156006,0.000000,0.470588,0.878431,0.039354,8.427445,0.001299,0.011315,-1.484200
002690.npy,0,0.108917,0.000000,0.607843,0.878431,0.039293,7.785735,0.001097,0.010194,-1.421321
002691.npy,0,0.089920,0.000000,0.717647,0.854902,0.035269,8.564499,0.000819,0.009170,-1.390639
002692.npy,0,0.000519,0.113725,0.796078,0.905882,0.009123,8.659799,0.000050,0.000018,-1.514405
002693.npy,0,0.000214,0.901961,0.949020,0.984314,0.007163,4.346384,0.000044,0.000012,-1.269169
002694.npy,0,0.000092,0.176471,0.458824,0.815686,0.069246,2.450962,0.005585,0.001354,-0.638610
002695.npy,0,0.000031,0.196078,0.474510,0.815686,0.066944,2.450912,0.005256,0.001264,-0.641775
002696.npy,0,0.006805,0.054902,0.568627,0.933333,0.015721,5.166586,0.000566,0.001345,-1.620595
002697.npy,0,0.000061,0.168627,0.431373,0.768627,0.047189,2.697739,0.003008,0.002106,-0.707088
002698.npy,0,0.000046,0.184314,0.478431,0.854902,0.052437,2.657279,0.003739,0.002686,-0.699952
002699.npy,0,0.002228,0.125490,0.384314,0.780392,0.051262,2.688683,0.003532,0.002480,-0.718885
002700.npy,0,0.000717,0.113725,0.317647,0.576471,0.057268,2.948349,0.005388,0.004095,-1.069264
002701.npy,0,0.000793,0.141176,0.270588,0.776471,0.016976,4.099968,0.000527,0.000483,-1.511518
002702.npy,0,0.003815,0.094118,0.258824,0.584314,0.014906,3.353802,0.000443,0.000356,-1.456460
002703.npy,0,0.003036,0.098039,0.258824,0.588235,0.014916,3.328120,0.000430,0.000371,-1.457773
002704.npy,1,0.002014,0.086275,0.282353,0.996078,0.112633,4.123851,0.025806,0.043146,-1.007185
002705.npy,0,0.041656,0.039216,0.109804,0.858824,0.051112,7.311563,0.001907,0.017748,-1.081419
002706.npy,1,0.030579,0.039216,0.125490,0.905882,0.061630,6.586700,0.003308,0.028877,-1.069572
002707.npy,0,0.042480,0.039216,0.109804,0.858824,0.051156,7.300178,0.001900,0.017753,-1.081388
002708.npy,0,0.000015,0.411765,0.780392,0.945098,0.035042,4.330328,0.002008,0.003186,-1.367890
002709.npy,0,0.000031,0.352941,0.643137,0.964706,0.028853,4.584768,0.001508,0.002886,-1.442003
002710.npy,0,0.000046,0.400000,0.674510,0.968627,0.030389,4.526704,0.001643,0.002979,-1.394241
002711.npy,0,0.000031,0.354314,0.643137,0.964706,0.028518,4.593150,0.001533,0.002787,-1.448669
002712.npy,0,0.009644,0.050980,0.254902,0.682353,0.023602,4.174626,0.001059,0.001641,-1.350772
002713.npy,0,0.000015,0.223529,0.490196,0.792157,0.083923,2.460341,0.008895,0.002608,-0.588875
002714.npy,0,0.000076,0.176471,0.462745,0.752941,0.081214,2.464229,0.008386,0.002413,-0.589021
002715.npy,0,0.001266,0.152941,0.462745,0.717647,0.085156,2.475106,0.009150,0.002712,-0.594458
002716.npy,1,0.014420,0.043137,0.298039,0.976471,0.123694,3.658345,0.025906,0.042187,-0.942738
002717.npy,0,0.074722,0.023529,0.113725,0.670588,0.050903,4.415674,0.003743,0.005794,-1.192815
002718.npy,0,0.056152,0.031373,0.133333,0.670588,0.057277,4.047114,0.004479,0.005464,-1.158358
002719.npy,0,0.078888,0.023529,0.121569,0.666667,0.053536,4.261005,0.003798,0.005348,-1.175477
002720.npy,1,0.023849,0.039216,0.239216,0.941176,0.071830,5.106552,0.012602,0.029884,-1.147254
002721.npy,1,0.002090,0.066667,0.337255,0.929412,0.088993,4.100117,0.016583,0.024417,-1.075627
